Title;Power;Type;Time;LocationLat;LocationLon
Ngọc Hiển offshore wind power plant;3000;Wind;2100;8,5389;105,4516
Dab Pal 4 solar farm;3000;Solar;2100;33,7680;66,2385
Ningxia Tenggeli Desert solar project;3000;Solar;2100;37,5356;105,0446
Al Shagaya Solar Energy Park;2980;Solar;2100;29,2285;47,0624
Quaresmeira Offshore wind farm;2960;Wind;2100;-21,3524;-40,2324
Ventos Fluminenses Offshore wind farm;2820;Wind;2100;-22,5216;-41,5993
Fyrskeppet wind farm;2800;Wind;2100;61,129;18,6048
Thăng Long Offshore wind farm;2800;Wind;2100;10,8367;108,5586
Tiwi Island Green Hydrogen Project solar farm;2800;Solar;2100;-11,6826;130,9051
Canale Di Sicilia wind farm;2793;Wind;2100;37,6728;12,0877
Hochtief wind farm;2700;Wind;2100;54,9084;7,3468
Shandong Yantai Haiyang Offshore solar project;2700;Solar;2100;36,781300;121,160500
Coastal Virginia Offshore Wind (CVOW) Commercial Project;2640;Wind;2100;36,8868;-75,4916
He Yi Offshore wind farm;2600;Wind;2100;25,424;121,9593
Great Eastern Offshore wind farm;2500;Wind;2100;-38,2512;147,2318
Projeto Piau Offshore wind farm;2500;Wind;2100;-6,1901;-35,0623
Projeto Ubu Offshore wind farm;2500;Wind;2100;-20,7912;-40,567
SCDI Green Hydrogen wind farm;2500;Wind;2100;-26,6718;15,0891
Haian Offshore wind farm;2500;Wind;2100;24,3765;120,5058
Mega Solar Initiative solar farm (Botswana);2500;Solar;2100;-22,2595;20,4389
Mega Solar Initiative solar farm (Namibia);2500;Solar;2100;-22,0892;19,9039
SCDI Green Hydrogen solar farm;2500;Solar;2100;-26,6718;15,0891
Pyongyang solar farm;2500;Solar;2100;39,0227;125,7922
Ventos Potiguar Offshore wind farm;2484;Wind;2100;-4,9329;-35,9688
Southwest Offshore wind farm;2460;Wind;2100;35,5382;126,2232
Gretas Klackar wind farm;2400;Wind;2100;61,5259;17,697
Da Chungbu floating wind farm;2400;Wind;2100;24,4504;120,3058
Ju Dao Offshore wind farm;2400;Wind;2100;23,4547;119,8174
Beacon wind farm;2400;Wind;2100;41,0545;-70,45
Mareld wind farm;2300;Wind;2100;58,1991;10,5612
Berwick Bank wind farm;2300;Wind;2100;56,471;-1,576
Gulf Ben Tre 3 offshore wind power;2300;Wind;2100;9,9455;107,0105
Ocean (Ørsted) wind farm;2248;Wind;2100;39,1214;-74,2462
Star Of The South Offshore wind farm;2200;Wind;2100;-38,7901;146,9201
Batam solar farm;2200;Solar;2100;1,1329;104,0631
Ventos Do Açu Offshore wind farm;2160;Wind;2100;-22,0489;-40,7135
Vineyard Wind South;2154;Wind;2100;41,0471;-70,4874
Kultje wind farm;2150;Wind;2100;56,9918;17,6369
Shaanxi Yulin (Hubei Energy) solar power plant;2100;Solar;2100;38,4812;110,0049
Saemangeum Floating solar farm;2100;Solar;2100;36,6384;127,6961
Great Gippsland Offshore wind farm;2085;Wind;2100;-38,3885;142,2508
Empire wind farm;2076;Wind;2100;40,3608;-73,4662
Maral Offshore wind farm;2012;Wind;2100;-4,8569;-36,0519
Formosa 3 offshore wind farm;2004;Wind;2100;24,1595;119,756
Bass (Brookvale) Offshore Wind Energy Project;2000;Wind;2100;-39,3153;145,8468
Blue Marlin Offshore wind farm;2000;Wind;2100;-38,9979;146,4848
Bunbury wind farm;2000;Wind;2100;-32,8223;115,2978
Illawarra wind farm;2000;Wind;2100;-34,4619;151,2911
Southern Queensland Offshore wind farm;2000;Wind;2100;-28,0267;153,4023
Uaroo Renewable Energy Hub wind farm;2000;Wind;2100;-21,674;115,1335
Colibri Offshore wind farm;2000;Wind;2100;-2,9066;-38,9909
Ibitucatu Offshore wind farm;2000;Wind;2100;-2,9066;-38,9909
Guangdong Yangjiang Fanshi Offshore wind farm;2000;Wind;2100;21,111;112,225
Masdar Geen Hydrogen wind farm;2000;Wind;2100;29,7135;32,3048
Ludwigshafen wind farm;2000;Wind;2100;54,1388;7,1687
South Taranaki Bight offshore wind farm;2000;Wind;2100;-39,5434;173,6808
Northern Luzon Offshore Wind Power Project;2000;Wind;2100;18,2893;120,5093
Dyning wind farm;2000;Wind;2100;58,2318;17,8532
Bình Định 3 offshore wind farm;2000;Wind;2100;14,1944;109,2108
Bình Định Province Offshore wind farm;2000;Wind;2100;14,024;109,301
Co Thach offshore wind farm;2000;Wind;2100;11,0887;108,5891
Ninh Thuận Floating offshore wind farm;2000;Wind;2100;11,4681;109,2436
PNE Binh Dinh offshore wind farm;2000;Wind;2100;14,024;109,4301
V4 Trà Vinh offshore wind farm;2000;Wind;2100;9,4766;106,7141
Bulli Creek solar farm;2000;Solar;2100;-27,9972;150,8808
Darwin H2 Hub solar farm;2000;Solar;2100;-12,5089;130,7650
Guangdong Leizhou Wushizhen (Datang) BIPV solar farm;2000;Solar;2100;20,7611;110,028
Inner Mongolia Kubuqi 2000 MW Desert Control solar power plant;2000;Solar;2100;40,582;108,435
Jiangsu Lianyungang Tianwan Beachland solar power plant;2000;Solar;2100;34,722;119,504
Qinghai Delingha (China Guangdong Nuclear) solar power plant;2000;Solar;2100;37,0825;95,4597
Shandong Weihai Wendeng Offshore solar project;2000;Solar;2100;37,189500;122,054800
Xinjiang Luopu (Tongguang) Integrated solar farm;2000;Solar;2100;37,0664;80,1779
Tianjin Jinghai District Zhongwang (Xinhua) solar farm;2000;Solar;2100;38,6389;117,1366
Masdar Geen Hydrogen solar farm;2000;Solar;2100;29,7135;32,3048
Power China Solar PV Park;2000;Solar;2100;33,0956;44,1750
NEOM Green Hydrogen solar farm;2000;Solar;2100;28,0001;35,1794
Shuaibah 2 solar farm;2000;Solar;2100;25,6243;42,3528
Uttar Pradesh (NTPC) solar plant;1990;Solar;2100;26,8612;81,2733
Aracatu 1 Offshore wind farm;1920;Wind;2100;-21,5333;-40,7384
Aracatu 2 Offshore wind farm;1920;Wind;2100;-21,4041;-40,7314
Santa Rosa Nueva Ecija Solar Power Project;1910;Solar;2100;15,4846;120,9758
Marr Bank wind farm;1850;Wind;2100;56,35;-1,79
Alisios Potiguares Offshore wind farm;1845;Wind;2100;-5,0438;-35,601
Eden wind farm;1800;Wind;2100;-37,3352;150,3932
Novocastrian wind farm;1800;Wind;2100;-32,9714;152,6782
Ulladulla wind farm;1800;Wind;2100;-35,3649;150,8335
Triton wind farm;1800;Wind;2100;55,1363;13,6654
Feng Li Offshore wind farm;1800;Wind;2100;24,6859;120,5606
Feng Miao Offshore wind farm;1800;Wind;2100;24,4151;120,2071
Guo Feng Offshore wind farm;1800;Wind;2100;23,9887;119,9393
Jingwei Offshore wind farm;1800;Wind;2100;24,7634;120,6257
Miaoli Fengli Offshore wind farm;1800;Wind;2100;24,843;120,3677
Taichung Fengmiao Floating wind farm;1800;Wind;2100;24,4793;120,3058
Norfolk Boreas wind farm;1800;Wind;2100;53,04;2,93
Norfolk Vanguard wind farm;1800;Wind;2100;52,87;2,67
AMI AC offshore wind farm;1800;Wind;2100;11,091;108,662
Ninh Thuận offshore wind farm;1800;Wind;2100;11,542;109,2436
Água Marinha Offshore wind farm;1700;Wind;2100;-4,8155;-36,0018
Bromélia Offshore wind farm;1700;Wind;2100;-23,0694;-43,3939
HNH wind farm;1700;Wind;2100;-52,4705;-72,5327
Donghae MOTIE wind farm;1700;Wind;2100;35,4294;130,0828
Galatea-Galene wind farm;1700;Wind;2100;57,0734;11,785
Calamba-Tanauan 2 Solar Power Project;1680;Solar;2100;14,1881;121,1238
Wollongong Offshore wind farm;1660;Wind;2100;-34,5219;150,875
Wilmington East Wind Energy Area;1623;Wind;2100;33,6767;-78,0402
Liberty wind farm;1607;Wind;2100;40,6892;-70,2427
Incheon offshore wind farm;1600;Wind;2100;37,3603;126,1775
Incheon-Orsted wind farm;1600;Wind;2100;37,1874;125,9077
Södra Midsjöbanken wind farm;1600;Wind;2100;55,8773;17,0302
Humboldt Call Area wind farm;1600;Wind;2100;40,9659;-124,537
Ninh Thuận Region 2 coastal wind farm;1600;Wind;2100;11,573;109,2162
Bałtyk 1 Offshore wind farm;1560;Wind;2100;55,52;17,26
Haeuli Floating Offshore Wind Power;1558;Wind;2100;35,2111;130,0091
Yurihonjo (Renova) Offshore wind farm;1538;Wind;2100;39,461;140,001
Donghae White Heron wind farm;1520;Wind;2100;35,3358;130,1771
Donghae Gray Whale wind farm;1512;Wind;2100;35,2193;129,9978
Atlantic Shores Offshore Wind Project;1510;Wind;2100;39,3171;-73,6179
